59,520,63,12,12,205,218,13,512,13,512,14,156,2,0
59,520,63,12,12,205,218,273,530,202,202,13,512,13,512
59,520,87,14,13,512,13,512,2,2,80,41,42,51,3
59,520,16,514,16,514,157,201,39,201,39,41,42,51,2
59,520,63,12,12,205,218,13,512,13,512,14,156,2,0
59,520,63,12,12,205,218,273,530,202,202,13,512,13,512
59,520,14,13,512,13,512,2,2,80,41,42,51,3,12
59,520,87,14,13,512,13,512,2,2,80,41,42,51,3
59,520,16,514,16,514,14,13,512,13,512,41,42,51,3
59,520,63,12,12,160,39,13,512,13,512,13,512,14,14
59,520,87,14,13,512,13,512,2,2,80,41,42,51,3
59,520,9,89,9,10,9,10,9,12,11,63,12,12,205
59,520,14,13,512,13,512,41,42,51,3,12,12,41,54
59,520,16,514,16,514,39,160,13,512,13,512,13,512,14
59,520,63,12,12,158,12,12,14,13,512,13,512,5,9
59,520,63,12,12,205,218,13,512,13,512,14,156,2,0
59,520,12,9,21,2,5,9,3,2,0,5,9,10,9
59,520,87,14,13,512,13,512,2,2,80,41,42,51,3
59,520,87,14,13,512,13,512,2,2,80,41,42,51,3
59,520,63,12,12,158,12,12,14,13,512,13,512,5,9
59,520,14,13,512,13,512,41,42,51,3,12,12,201,39
59,520,87,14,13,512,13,512,2,2,80,41,42,51,3
59,520,87,14,13,512,13,512,2,2,80,41,42,51,3
59,520,16,514,16,514,1,157,201,39,201,39,41,42,51
59,520,12,9,21,2,5,9,3,2,0,5,9,10,9
59,520,16,514,16,514,39,160,13,512,13,512,13,512,14
59,520,16,514,16,514,1,157,201,39,201,39,41,42,51
59,520,14,13,512,13,512,41,42,51,3,12,12,41,54
59,520,14,13,512,13,512,41,42,51,3,12,12,41,54
59,520,16,514,16,514,39,160,13,512,13,512,13,512,14
59,520,87,14,13,512,13,512,2,2,80,41,42,51,3
59,520,87,14,13,512,13,512,2,2,80,41,42,51,3
59,520,9,89,9,10,9,10,12,11,14,13,512,13,512
59,520,9,89,9,10,9,10,12,11,14,13,512,13,512
59,520,16,514,16,514,157,201,39,201,39,41,42,51,2
59,520,12,9,21,2,5,9,3,2,0,5,9,10,9
59,520,87,14,13,512,13,512,2,2,80,41,42,51,3
59,520,16,514,16,514,1,14,13,512,13,512,2,2,80
59,520,2,0,3,12,12,2,9,0,0,0,3,11,9
59,520,63,12,12,205,218,273,530,202,202,13,512,13,512
59,520,14,13,512,13,512,41,42,51,3,12,12,41,54
59,520,12,9,21,2,5,9,3,2,0,5,9,10,9
59,520,16,514,16,514,157,201,39,201,39,12,12,2,16
59,520,87,14,13,512,13,512,2,2,80,41,42,51,3
59,520,16,514,16,514,39,160,13,512,13,512,13,512,14
59,520,9,89,9,10,9,10,12,11,87,14,13,512,13
59,520,14,13,512,13,512,41,42,51,3,12,12,201,39
59,520,12,12,2,0,3,9,1,1,1,1,1,2,9
59,520,154,204,228,14,228,228,131,525,131,525,186,14,13
59,520,80,2,80,80,3,2,80,4,4,4,4,4,4
59,520,16,514,16,514,39,97,160,13,512,13,512,13,512
59,520,16,514,16,514,39,160,13,512,13,512,13,512,14
59,520,63,160,39,13,512,13,512,13,512,14,156,2,0
59,520,57,41,41,42,42,3,72,3,72,3,72,59,520
59,520,12,9,21,2,5,9,3,2,0,5,9,10,9
59,520,12,9,21,2,5,9,3,2,0,5,9,10,9
59,520,87,14,13,512,13,512,2,2,80,41,42,51,3
59,520,87,14,13,512,13,512,2,2,80,41,42,51,3
